x,y_coord,y_obs,y_hat,alpha,beta_Intercept,se_Intercept,t_Intercept,p_Intercept,beta_median_income,se_median_income,t_median_income,p_median_income,beta_unemployment_rate,se_unemployment_rate,t_unemployment_rate,p_unemployment_rate,tract_id
-76.0172,39.53545,32.0,14.549081801108434,0.5959190175831587,-7.490802302540951,0.09250258863601069,-80.97938028541644,0.0,-0.3582802884447664,0.0932578324867433,-3.8418251731906414,0.00012212281068313402,0.134245362240348,0.0884732357764148,1.5173556280862865,0.12917692040237005,SYN0000
-77.52505,39.15947,1.0,3.2910677951544116,0.5959190175831587,-7.485157576894745,0.08803825514597705,-85.02164842412581,0.0,-0.3532124792543497,0.08859271191468561,-3.9869247889656174,6.693523250822508e-05,0.16909533620968217,0.08493374521642498,1.990908746326914,0.04649092047485581,SYN0001
-75.63631,38.37857,9.0,15.363985656528113,0.5959190175831587,-7.487740092996068,0.09327554494189348,-80.27549019049525,0.0,-0.35500954410274,0.09437783202832832,-3.761577655186875,0.0001688449821350968,0.12896176139208482,0.08900283106980429,1.4489624638000673,0.1473480654335273,SYN0002
-76.36184,39.64452,25.0,27.879746026883982,0.5959190175831587,-7.490304353410559,0.09163646624385997,-81.73934090253552,0.0,-0.35736583221540735,0.09230127612545595,-3.87173230118374,0.00010806459926127054,0.14151289348609206,0.08784057890741091,1.611019590789069,0.10717545253941019,SYN0003
-79.0762,39.30175,24.0,30.924045456048905,0.5959190175831587,-7.479582989048897,0.09480649507585115,-78.8931494942911,0.0,-0.35430665781830023,0.09490426091385859,-3.7333061172026034,0.0001889826782046633,0.20530179094741552,0.09226849145746985,2.2250476593306736,0.026078038880612997,SYN0004
-75.1097,39.1904,0.0,0.679604902294243,0.5959190175831587,-7.4912517064980495,0.09744074538494198,-76.8800739044399,0.0,-0.3614499914498277,0.09844771354054095,-3.671491987480054,0.00024113863944141833,0.11589668518022792,0.09266379730653566,1.2507223807895214,0.21103578208040563,SYN0005
-76.07487,38.70885,8.0,7.966137912299028,0.5959190175831587,-7.487935150873206,0.09021733801059371,-82.9988482922644,0.0,-0.3547074630867257,0.09115518479653353,-3.8912483571665644,9.972978643535413e-05,0.13753723407293877,0.08629547212805351,1.593794328731962,0.11098210820850873,SYN0006
-75.96271,38.39003,1.0,5.460496115871397,0.5959190175831587,-7.487174056046057,0.09131087565195457,-81.99652015806497,0.0,-0.3537868372151846,0.09235000150843409,-3.830934828765262,0.00012765731784436518,0.13602252674924403,0.08728514275198516,1.558369757562783,0.11914562138730278,SYN0007
-78.92349,38.0735,63.0,26.673428714835165,0.5959190175831587,-7.4770986880423465,0.09500623754888528,-78.70113458808449,0.0,-0.35170012862713773,0.09559713649875869,-3.67898183468816,0.0002341669444261285,0.20669833963538542,0.0920821785174677,2.244716002197704,0.024786370091926635,SYN0008
-77.47326,39.52468,3.0,3.831824550636476,0.5959190175831587,-7.486432434233741,0.08937939337557695,-83.76016161550073,0.0,-0.35435838196637076,0.0898465935071369,-3.94403803343109,8.012094263598613e-05,0.16685351526940279,0.0862478576080151,1.9345815640746644,0.053041664162932545,SYN0009
-77.83141,38.7204,25.0,30.573223687031966,0.5959190175831587,-7.482826354130529,0.08810632492973453,-84.92950262195296,0.0,-0.3518339786963255,0.08872055723633811,-3.9656421201130776,7.319862171950575e-05,0.1777471008175878,0.08508183869855741,2.0891309301311742,0.03669593878679667,SYN0010
-75.32956,38.26425,43.0,39.58264679147534,0.5959190175831587,-7.4878390712718215,0.09593839244985106,-78.0484108610207,0.0,-0.35589388290911295,0.09713170337255753,-3.6640341984331255,0.00024827361429724526,0.12275893147815745,0.0913922895987428,1.3432088419836035,0.17920435938936308,SYN0011
-76.60261,38.45072,26.0,33.87440921002221,0.5959190175831587,-7.485871907250378,0.08869073555991404,-84.4042149384744,0.0,-0.35220624953882873,0.08960243907168963,-3.930766318281063,8.467554170121794e-05,0.15012737559324865,0.08507483166976453,1.7646508684965605,0.07762246061679501,SYN0012
-75.79757,38.9426,9.0,8.463571511607038,0.5959190175831587,-7.489268759233524,0.09175270173715479,-81.62450388314596,0.0,-0.35676432625158255,0.09268467456557417,-3.8492267240920475,0.00011849129520702384,0.13088100183928567,0.08762475899554731,1.4936532018985234,0.13526628618714676,SYN0013
-77.50464,38.21819,1.0,0.8568702891802741,0.5959190175831587,-7.4825448770607945,0.08874489163856573,-84.31521791175545,0.0,-0.3503866504576132,0.0895686950405514,-3.9119320684417573,9.156066936788498e-05,0.17191284584861266,0.08549748255757361,2.0107357632763905,0.044353374370635024,SYN0014
-78.47743,39.44191,46.0,44.64904280077739,0.5959190175831587,-7.482392297439784,0.09173236073334015,-81.5676413167933,0.0,-0.3538964110089841,0.09197047401047213,-3.847935055425375,0.00011911761911065355,0.19060248537709054,0.08901644007786688,2.1412054358763566,0.03225747488015385,SYN0015
-77.00437,39.26534,11.0,11.040327122183033,0.5959190175831587,-7.487197421269619,0.08835649948731053,-84.73850214431488,0.0,-0.354259340961834,0.0889883200775698,-3.9809644754843263,6.863620748198684e-05,0.15679835770804004,0.08499857732797186,1.8447174368933803,0.06507865302418381,SYN0016
